"Participant","Block","Condition","ConditionName","Task","Time","Distance","XDiff","YDiff","ZDiff"
"2","3",2,"Haptics+Lights","17",1888.42,20.6861,-4.6319,12.89731,-15.495
"2","3",2,"Haptics+Lights","18",2211.62,13.21,2.00912,-6.8768,-11.099
"2","3",2,"Haptics+Lights","19",2254.64,13.5765,8.0991,-9.695,-4.97299999999998
"2","3",2,"Haptics+Lights","20",4257.83,26.8096,7.9553,-3.0423,-25.421
"2","4",5,"Haptics+Lights","1",2705.42,28.1098,3.4064,-8.2932,-26.642
"2","4",5,"Haptics+Lights","2",1906.14,40.8465,-1.78403,-1.11104,-40.792
"2","4",5,"Haptics+Lights","3",2453.69,13.4487,-0.724900000000005,-13.0662,-3.101
"2","4",5,"Haptics+Lights","4",2418.68,6.70634,-4.5156,4.37997,-2.32400000000001
"2","4",5,"Haptics+Lights","5",2444.94,16.3009,-5.6603,6.9396,-13.62
"2","4",5,"Haptics+Lights","6",2903.63,21.9557,9.20283,-2.3886,19.79
"2","4",5,"Haptics+Lights","7",2150.19,17.3924,-3.55687,-8.6038,-14.691
"2","4",5,"Haptics+Lights","8",2314.77,46.7556,4.1134,-6.97337,46.049
"2","4",5,"Haptics+Lights","9",2844.08,10.814,8.8199,5.0945,-3.63300000000001
"2","4",5,"Haptics+Lights","10",2940.01,6.65195,1.1938,-6.232998,-1.994
"2","4",5,"Haptics+Lights","11",1950.8,18.9141,-6.9805,5.0365,-16.842
"2","4",5,"Haptics+Lights","12",3502.61,14.3379,5.464,-7.5972,10.863
"2","4",5,"Haptics+Lights","13",2211.17,23.5019,-1.6683,2.2573,-23.334
"2","4",5,"Haptics+Lights","14",2948.4,19.0608,-3.38248,12.2446,-14.211
"2","4",5,"Haptics+Lights","15",2965.87,26.0637,2.1768,2.6148,-25.841
"2","4",5,"Haptics+Lights","16",2860.53,36.054,-3.9033,3.06634,-35.711
"2","4",5,"Haptics+Lights","17",2037.64,6.97323,3.5397,-4.862626,3.529
"2","4",5,"Haptics+Lights","18",2158.4,29.4633,4.8639,-3.0683,-28.897
"2","4",5,"Haptics+Lights","19",2809.11,34.7596,3.3109,12.0092,-32.451
